,year,gameid,side,num_counters_picked,num_counters_banned,PGA,higher_PGA,mean_champ_wr,mean_team_wr,result,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,pga_diff
57519,2022,ESPORTSTMNT01_2915295,Red,0,0,0,0,0.5095385830802388,0.7619047619047619,1,3248.0,4259.0,72.0,3065.0,4086.0,54.0,183.0,173.0,18.0,1.0,0.0,2.0,1.0,1.0,1.0,-1
57520,2022,ESPORTSTMNT01_2915314,Blue,0,0,0,0,0.4995734650738548,0.28125,0,3040.0,4331.0,73.0,3094.0,4518.0,68.0,-54.0,-187.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,-3
57521,2022,ESPORTSTMNT01_2915314,Red,2,1,3,1,0.4998294224847754,0.5573770491803278,1,3094.0,4518.0,68.0,3040.0,4331.0,73.0,54.0,187.0,-5.0,0.0,1.0,0.0,0.0,0.0,0.0,3
57522,2022,ESPORTSTMNT01_2915328,Blue,2,1,3,1,0.5029791233342997,0.5727272727272728,1,3727.0,5084.0,87.0,2910.0,3958.0,62.0,817.0,1126.0,25.0,1.0,0.0,0.0,0.0,0.0,1.0,2
57523,2022,ESPORTSTMNT01_2915328,Red,0,1,1,0,0.4964581946291462,0.2777777777777778,0,2910.0,3958.0,62.0,3727.0,5084.0,87.0,-817.0,-1126.0,-25.0,0.0,0.0,1.0,1.0,0.0,0.0,-2
57524,2022,ESPORTSTMNT01_2915344,Blue,2,0,2,1,0.5054095541407585,0.4705882352941176,1,4106.0,4785.0,66.0,2630.0,3682.0,49.0,1476.0,1103.0,17.0,4.0,0.0,0.0,0.0,0.0,1.0,1
57525,2022,ESPORTSTMNT01_2915344,Red,0,1,1,0,0.4936947015574173,0.2638888888888889,0,2630.0,3682.0,49.0,4106.0,4785.0,66.0,-1476.0,-1103.0,-17.0,0.0,0.0,1.0,4.0,0.0,0.0,-1
57526,2022,ESPORTSTMNT01_2915365,Blue,2,1,3,1,0.4994536672500464,0.25,1,3091.0,4016.0,72.0,3638.0,5004.0,84.0,-547.0,-988.0,-12.0,0.0,0.0,1.0,1.0,0.0,1.0,2
57527,2022,ESPORTSTMNT01_2915365,Red,0,1,1,0,0.5001311358545903,0.6164383561643836,0,3638.0,5004.0,84.0,3091.0,4016.0,72.0,547.0,988.0,12.0,1.0,0.0,1.0,0.0,0.0,1.0,-2
57528,2022,ESPORTSTMNT01_2915382,Blue,1,0,1,1,0.5068799173604861,0.624,1,4132.0,4910.0,77.0,3147.0,3678.0,54.0,985.0,1232.0,23.0,2.0,1.0,1.0,1.0,1.0,2.0,1
57529,2022,ESPORTSTMNT01_2915382,Red,0,0,0,0,0.490646266591966,0.3333333333333333,0,3147.0,3678.0,54.0,4132.0,4910.0,77.0,-985.0,-1232.0,-23.0,1.0,1.0,2.0,2.0,1.0,1.0,-1
57530,2022,ESPORTSTMNT01_2915383,Blue,0,0,0,0,0.5121954779339591,0.2777777777777778,0,3444.0,5111.0,83.0,2685.0,4463.0,64.0,759.0,648.0,19.0,1.0,0.0,0.0,0.0,0.0,1.0,-1
57531,2022,ESPORTSTMNT01_2915383,Red,0,1,1,1,0.511295741771032,0.3448275862068966,1,2685.0,4463.0,64.0,3444.0,5111.0,83.0,-759.0,-648.0,-19.0,0.0,0.0,1.0,1.0,0.0,0.0,1
57532,2022,ESPORTSTMNT01_2915512,Blue,1,0,1,0,0.5052366291111902,0.4090909090909091,0,2916.0,4856.0,73.0,2960.0,4680.0,74.0,-44.0,176.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,-1
