,teamname,league,year,gameid,side,champion,ban1,ban2,ban3,ban4,ban5,pick1,pick2,pick3,pick4,pick5,result,goldat10,xpat10,csat10,opp_goldat10,opp_xpat10,opp_csat10,golddiffat10,xpdiffat10,csdiffat10,killsat10,assistsat10,deathsat10,opp_killsat10,opp_assistsat10,opp_deathsat10,goldat15,xpat15,csat15,opp_goldat15,opp_xpat15,opp_csat15,golddiffat15,xpdiffat15,csdiffat15,killsat15,assistsat15,deathsat15,opp_killsat15,opp_assistsat15,opp_deathsat15,goldat20,xpat20,csat20,opp_goldat20,opp_xpat20,opp_csat20,golddiffat20,xpdiffat20,csdiffat20,killsat20,assistsat20,deathsat20,opp_killsat20,opp_assistsat20,opp_deathsat20,goldat25,xpat25,csat25,opp_goldat25,opp_xpat25,opp_csat25,golddiffat25,xpdiffat25,csdiffat25,killsat25,assistsat25,deathsat25,opp_killsat25,opp_assistsat25,opp_deathsat25
3012,100 Thieves,LTA,2025,LOLTMNT05_114376,Blue,Gnar,Draven,Varus,Taliyah,Aurelion Sol,Hwei,Gnar,Skarner,Azir,Corki,Leona,0,3257.0,4263.0,68.0,2910.0,4401.0,66.0,347.0,-138.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,4604.0,6512.0,106.0,4858.0,7525.0,115.0,-254.0,-1013.0,-9.0,1.0,0.0,0.0,0.0,0.0,0.0,6034.0,8912.0,136.0,6559.0,9534.0,139.0,-525.0,-622.0,-3.0,1.0,1.0,1.0,1.0,1.0,1.0,7440.0,11303.0,173.0,8490.0,12071.0,171.0,-1050.0,-768.0,2.0,1.0,1.0,2.0,1.0,3.0,1.0
3013,Team Liquid,LTA,2025,LOLTMNT05_114376,Red,K'Sante,Yone,Jayce,Kalista,Kai'Sa,Miss Fortune,K'Sante,Maokai,Ziggs,Ezreal,Poppy,1,2910.0,4401.0,66.0,3257.0,4263.0,68.0,-347.0,138.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,4858.0,7525.0,115.0,4604.0,6512.0,106.0,254.0,1013.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,6559.0,9534.0,139.0,6034.0,8912.0,136.0,525.0,622.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,8490.0,12071.0,171.0,7440.0,11303.0,173.0,1050.0,768.0,-2.0,1.0,3.0,1.0,1.0,1.0,2.0
3014,Movistar KOI,LEC,2025,LOLTMNT05_114381,Blue,Vex,Poppy,Varus,Nocturne,Azir,Akali,Vex,Vi,Yone,Ezreal,Rakan,1,3495.0,5144.0,92.0,2964.0,5052.0,75.0,531.0,92.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,5344.0,7285.0,131.0,4463.0,7178.0,116.0,881.0,107.0,15.0,1.0,0.0,0.0,0.0,0.0,1.0,6984.0,10065.0,167.0,5776.0,9260.0,150.0,1208.0,805.0,17.0,1.0,3.0,0.0,0.0,1.0,2.0,8656.0,12539.0,207.0,7428.0,11733.0,199.0,1228.0,806.0,8.0,1.0,4.0,0.0,0.0,1.0,2.0
3015,GiantX,LEC,2025,LOLTMNT05_114381,Red,Ambessa,Skarner,Zyra,Kalista,Rumble,Braum,Ambessa,Sejuani,Lee Sin,Kai'Sa,Rell,0,2964.0,5052.0,75.0,3495.0,5144.0,92.0,-531.0,-92.0,-17.0,0.0,0.0,0.0,0.0,0.0,0.0,4463.0,7178.0,116.0,5344.0,7285.0,131.0,-881.0,-107.0,-15.0,0.0,0.0,1.0,1.0,0.0,0.0,5776.0,9260.0,150.0,6984.0,10065.0,167.0,-1208.0,-805.0,-17.0,0.0,1.0,2.0,1.0,3.0,0.0,7428.0,11733.0,199.0,8656.0,12539.0,207.0,-1228.0,-806.0,-8.0,0.0,1.0,2.0,1.0,4.0,0.0
3016,GiantX,LEC,2025,LOLTMNT05_114389,Blue,K'Sante,Zyra,Kalista,Ivern,Wukong,Pantheon,K'Sante,Xin Zhao,Orianna,Varus,Nautilus,0,3029.0,3995.0,77.0,2880.0,4516.0,63.0,149.0,-521.0,14.0,0.0,0.0,1.0,0.0,0.0,0.0,4461.0,6191.0,120.0,4555.0,6467.0,92.0,-94.0,-276.0,28.0,0.0,0.0,1.0,1.0,0.0,1.0,6533.0,9435.0,183.0,6463.0,9744.0,140.0,70.0,-309.0,43.0,0.0,0.0,1.0,1.0,0.0,1.0,7785.0,11201.0,206.0,8949.0,12376.0,169.0,-1164.0,-1175.0,37.0,0.0,1.0,3.0,2.0,4.0,1.0
3017,Movistar KOI,LEC,2025,LOLTMNT05_114389,Red,Poppy,Skarner,Nocturne,Maokai,Taliyah,Ahri,Poppy,Nidalee,Azir,Corki,Braum,1,2880.0,4516.0,63.0,3029.0,3995.0,77.0,-149.0,521.0,-14.0,0.0,0.0,0.0,0.0,0.0,1.0,4555.0,6467.0,92.0,4461.0,6191.0,120.0,94.0,276.0,-28.0,1.0,0.0,1.0,0.0,0.0,1.0,6463.0,9744.0,140.0,6533.0,9435.0,183.0,-70.0,309.0,-43.0,1.0,0.0,1.0,0.0,0.0,1.0,8949.0,12376.0,169.0,7785.0,11201.0,206.0,1164.0,1175.0,-37.0,2.0,4.0,1.0,0.0,1.0,3.0
3018,G2 Esports,LEC,2025,LOLTMNT05_114409,Blue,Renekton,Ambessa,Draven,Ivern,Gnar,Olaf,Renekton,Zyra,Yone,Corki,Leona,1,4009.0,5099.0,91.0,3120.0,4989.0,81.0,889.0,110.0,10.0,1.0,1.0,0.0,0.0,0.0,0.0,5897.0,7727.0,143.0,5095.0,8102.0,128.0,802.0,-375.0,15.0,1.0,1.0,1.0,1.0,0.0,0.0,8462.0,11288.0,200.0,6932.0,10493.0,168.0,1530.0,795.0,32.0,2.0,1.0,2.0,1.0,1.0,0.0,10622.0,13591.0,248.0,8622.0,12866.0,212.0,2000.0,725.0,36.0,2.0,2.0,2.0,1.0,1.0,0.0
3019,Karmine Corp,LEC,2025,LOLTMNT05_114409,Red,Ornn,Skarner,Kalista,Orianna,Jax,Cho'Gath,Ornn,Diana,Jayce,Yasuo,Senna,0,3120.0,4989.0,81.0,4009.0,5099.0,91.0,-889.0,-110.0,-10.0,0.0,0.0,0.0,1.0,1.0,0.0,5095.0,8102.0,128.0,5897.0,7727.0,143.0,-802.0,375.0,-15.0,1.0,0.0,0.0,1.0,1.0,1.0,6932.0,10493.0,168.0,8462.0,11288.0,200.0,-1530.0,-795.0,-32.0,1.0,1.0,0.0,2.0,1.0,2.0,8622.0,12866.0,212.0,10622.0,13591.0,248.0,-2000.0,-725.0,-36.0,1.0,1.0,0.0,2.0,2.0,2.0
3020,Karmine Corp,LEC,2025,LOLTMNT05_114414,Blue,Sion,Pantheon,Jax,Orianna,Hwei,Swain,Sion,Viego,Ryze,Draven,Seraphine,0,3310.0,5151.0,89.0,3280.0,5082.0,85.0,30.0,69.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4958.0,7642.0,138.0,5264.0,7944.0,142.0,-306.0,-302.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,6637.0,10120.0,186.0,7894.0,11622.0,190.0,-1257.0,-1502.0,-4.0,0.0,0.0,1.0,1.0,0.0,0.0,8281.0,12381.0,216.0,10466.0,13729.0,214.0,-2185.0,-1348.0,2.0,0.0,0.0,2.0,4.0,2.0,0.0
3021,G2 Esports,LEC,2025,LOLTMNT05_114414,Red,Cho'Gath,Skarner,Ivern,Ambessa,Rakan,Gnar,Cho'Gath,Xin Zhao,Anivia,Caitlyn,Braum,1,3280.0,5082.0,85.0,3310.0,5151.0,89.0,-30.0,-69.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,5264.0,7944.0,142.0,4958.0,7642.0,138.0,306.0,302.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,7894.0,11622.0,190.0,6637.0,10120.0,186.0,1257.0,1502.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,10466.0,13729.0,214.0,8281.0,12381.0,216.0,2185.0,1348.0,-2.0,4.0,2.0,0.0,0.0,0.0,2.0
3022,E WIE EINFACH E-SPORTS,PRM,2025,LOLTMNT05_114436,Blue,Cho'Gath,Orianna,Vi,Skarner,Hwei,Viktor,Cho'Gath,Nocturne,Azir,Corki,Nautilus,0,3020.0,3737.0,60.0,3364.0,5012.0,91.0,-344.0,-1275.0,-31.0,1.0,0.0,2.0,0.0,0.0,0.0,4797.0,6150.0,104.0,5518.0,7634.0,134.0,-721.0,-1484.0,-30.0,1.0,1.0,3.0,1.0,2.0,0.0,6525.0,9192.0,144.0,7435.0,9968.0,168.0,-910.0,-776.0,-24.0,1.0,4.0,3.0,2.0,4.0,0.0,8721.0,10942.0,168.0,9108.0,12137.0,184.0,-387.0,-1195.0,-16.0,3.0,4.0,3.0,4.0,5.0,0.0
3023,Eintracht Frankfurt,PRM,2025,LOLTMNT05_114436,Red,Rumble,Poppy,Lillia,Galio,Ornn,Maokai,Rumble,Jarvan IV,Taliyah,Varus,Rell,1,3364.0,5012.0,91.0,3020.0,3737.0,60.0,344.0,1275.0,31.0,0.0,0.0,0.0,1.0,0.0,2.0,5518.0,7634.0,134.0,4797.0,6150.0,104.0,721.0,1484.0,30.0,1.0,2.0,0.0,1.0,1.0,3.0,7435.0,9968.0,168.0,6525.0,9192.0,144.0,910.0,776.0,24.0,2.0,4.0,0.0,1.0,4.0,3.0,9108.0,12137.0,184.0,8721.0,10942.0,168.0,387.0,1195.0,16.0,4.0,5.0,0.0,3.0,4.0,3.0
3024,Karmine Corp Blue,LFL,2025,LOLTMNT05_114454,Blue,Rumble,Varus,Ezreal,Skarner,Azir,Taliyah,Rumble,Vi,Galio,Corki,Braum,1,3443.0,5051.0,94.0,3123.0,5020.0,80.0,320.0,31.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,5320.0,8084.0,154.0,5076.0,8196.0,125.0,244.0,-112.0,29.0,0.0,0.0,0.0,1.0,2.0,0.0,6793.0,10255.0,188.0,6581.0,10400.0,161.0,212.0,-145.0,27.0,0.0,1.0,0.0,1.0,3.0,1.0,8450.0,12549.0,219.0,7858.0,12107.0,190.0,592.0,442.0,29.0,0.0,3.0,0.0,1.0,3.0,2.0
3025,Ici Japon Corp. Esport,LFL,2025,LOLTMNT05_114454,Red,K'Sante,Zyra,Kalista,Maokai,Kai'Sa,Rell,K'Sante,Sejuani,Viktor,Miss Fortune,Rakan,0,3123.0,5020.0,80.0,3443.0,5051.0,94.0,-320.0,-31.0,-14.0,0.0,0.0,0.0,0.0,0.0,0.0,5076.0,8196.0,125.0,5320.0,8084.0,154.0,-244.0,112.0,-29.0,1.0,2.0,0.0,0.0,0.0,0.0,6581.0,10400.0,161.0,6793.0,10255.0,188.0,-212.0,145.0,-27.0,1.0,3.0,1.0,0.0,1.0,0.0,7858.0,12107.0,190.0,8450.0,12549.0,219.0,-592.0,-442.0,-29.0,1.0,3.0,2.0,0.0,3.0,0.0
3026,Ici Japon Corp. Esport,LFL,2025,LOLTMNT05_114463,Blue,Ambessa,Zyra,Kalista,Aurora,Taliyah,Hwei,Ambessa,Xin Zhao,Azir,Ezreal,Alistar,0,2960.0,4448.0,71.0,3760.0,5089.0,94.0,-800.0,-641.0,-23.0,0.0,0.0,0.0,0.0,1.0,0.0,4165.0,6392.0,100.0,5088.0,7422.0,131.0,-923.0,-1030.0,-31.0,0.0,0.0,0.0,0.0,1.0,0.0,6511.0,8493.0,134.0,7976.0,10641.0,171.0,-1465.0,-2148.0,-37.0,2.0,0.0,1.0,2.0,3.0,0.0,7764.0,10211.0,162.0,10143.0,13094.0,197.0,-2379.0,-2883.0,-35.0,2.0,0.0,3.0,3.0,7.0,0.0
3027,Karmine Corp Blue,LFL,2025,LOLTMNT05_114463,Red,Renekton,Skarner,Maokai,Varus,Ivern,Zac,Renekton,Viego,Sylas,Kai'Sa,Leona,1,3760.0,5089.0,94.0,2960.0,4448.0,71.0,800.0,641.0,23.0,0.0,1.0,0.0,0.0,0.0,0.0,5088.0,7422.0,131.0,4165.0,6392.0,100.0,923.0,1030.0,31.0,0.0,1.0,0.0,0.0,0.0,0.0,7976.0,10641.0,171.0,6511.0,8493.0,134.0,1465.0,2148.0,37.0,2.0,3.0,0.0,2.0,0.0,1.0,10143.0,13094.0,197.0,7764.0,10211.0,162.0,2379.0,2883.0,35.0,3.0,7.0,0.0,2.0,0.0,3.0
3028,Fnatic,LEC,2025,LOLTMNT05_115018,Blue,Rumble,Zyra,Ambessa,Azir,Rakan,Renata Glasc,Rumble,Vi,Corki,Ezreal,Rell,1,3021.0,3865.0,71.0,3128.0,5055.0,73.0,-107.0,-1190.0,-2.0,0.0,0.0,0.0,0.0,0.0,0.0,4726.0,5668.0,98.0,5877.0,7821.0,111.0,-1151.0,-2153.0,-13.0,1.0,2.0,1.0,3.0,0.0,1.0,6835.0,8738.0,139.0,8604.0,10565.0,146.0,-1769.0,-1827.0,-7.0,1.0,3.0,3.0,6.0,1.0,2.0,8129.0,10275.0,172.0,10669.0,13169.0,179.0,-2540.0,-2894.0,-7.0,1.0,3.0,4.0,7.0,2.0,2.0
3029,Movistar KOI,LEC,2025,LOLTMNT05_115018,Red,K'Sante,Kalista,Skarner,Poppy,Smolder,Ahri,K'Sante,Maokai,Yone,Kai'Sa,Alistar,0,3128.0,5055.0,73.0,3021.0,3865.0,71.0,107.0,1190.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,5877.0,7821.0,111.0,4726.0,5668.0,98.0,1151.0,2153.0,13.0,3.0,0.0,1.0,1.0,2.0,1.0,8604.0,10565.0,146.0,6835.0,8738.0,139.0,1769.0,1827.0,7.0,6.0,1.0,2.0,1.0,3.0,3.0,10669.0,13169.0,179.0,8129.0,10275.0,172.0,2540.0,2894.0,7.0,7.0,2.0,2.0,1.0,3.0,4.0
3030,Movistar KOI,LEC,2025,LOLTMNT05_115019,Blue,Ornn,Poppy,Kalista,Pantheon,Olaf,Gangplank,Ornn,Sejuani,Azir,Jinx,Leona,0,3455.0,4271.0,70.0,3444.0,4472.0,85.0,11.0,-201.0,-15.0,1.0,1.0,0.0,0.0,0.0,1.0,5195.0,6650.0,106.0,5078.0,7018.0,127.0,117.0,-368.0,-21.0,2.0,1.0,0.0,0.0,1.0,1.0,6430.0,8553.0,126.0,7263.0,9654.0,164.0,-833.0,-1101.0,-38.0,2.0,2.0,1.0,1.0,4.0,2.0,7937.0,10657.0,160.0,9144.0,12043.0,214.0,-1207.0,-1386.0,-54.0,2.0,2.0,1.0,1.0,4.0,2.0
3031,Fnatic,LEC,2025,LOLTMNT05_115019,Red,Gwen,Zyra,Skarner,Ambessa,Braum,Gnar,Gwen,Xin Zhao,Taliyah,Varus,Nautilus,1,3444.0,4472.0,85.0,3455.0,4271.0,70.0,-11.0,201.0,15.0,0.0,0.0,1.0,1.0,1.0,0.0,5078.0,7018.0,127.0,5195.0,6650.0,106.0,-117.0,368.0,21.0,0.0,1.0,1.0,2.0,1.0,0.0,7263.0,9654.0,164.0,6430.0,8553.0,126.0,833.0,1101.0,38.0,1.0,4.0,2.0,2.0,2.0,1.0,9144.0,12043.0,214.0,7937.0,10657.0,160.0,1207.0,1386.0,54.0,1.0,4.0,2.0,2.0,2.0,1.0
3032,Movistar KOI,LEC,2025,LOLTMNT05_115021,Blue,Sion,Poppy,Ivern,Pantheon,Nocturne,Wukong,Sion,Jarvan IV,Ahri,Kalista,Braum,1,3232.0,4815.0,75.0,2974.0,4267.0,71.0,258.0,548.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4674.0,7075.0,113.0,4318.0,5999.0,106.0,356.0,1076.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,6696.0,9815.0,143.0,5583.0,8111.0,136.0,1113.0,1704.0,7.0,2.0,2.0,0.0,0.0,0.0,3.0,8446.0,11832.0,167.0,6692.0,9618.0,155.0,1754.0,2214.0,12.0,2.0,5.0,0.0,0.0,0.0,5.0
3033,Fnatic,LEC,2025,LOLTMNT05_115021,Red,Cho'Gath,Skarner,Ambessa,Zyra,Nidalee,Viego,Cho'Gath,Lee Sin,Aurora,Draven,Renata Glasc,0,2974.0,4267.0,71.0,3232.0,4815.0,75.0,-258.0,-548.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,4318.0,5999.0,106.0,4674.0,7075.0,113.0,-356.0,-1076.0,-7.0,0.0,0.0,1.0,0.0,1.0,0.0,5583.0,8111.0,136.0,6696.0,9815.0,143.0,-1113.0,-1704.0,-7.0,0.0,0.0,3.0,2.0,2.0,0.0,6692.0,9618.0,155.0,8446.0,11832.0,167.0,-1754.0,-2214.0,-12.0,0.0,0.0,5.0,2.0,5.0,0.0
3034,Fnatic,LEC,2025,LOLTMNT05_115027,Blue,Jayce,Zyra,Nidalee,Ambessa,Gnar,Hwei,Jayce,Skarner,Syndra,Zeri,Karma,1,2509.0,3204.0,45.0,3066.0,4521.0,65.0,-557.0,-1317.0,-20.0,0.0,1.0,0.0,0.0,0.0,0.0,4155.0,5887.0,84.0,4957.0,6656.0,95.0,-802.0,-769.0,-11.0,0.0,3.0,0.0,2.0,0.0,1.0,6093.0,9106.0,143.0,6660.0,9614.0,142.0,-567.0,-508.0,1.0,0.0,4.0,0.0,2.0,0.0,1.0,8256.0,12436.0,196.0,8914.0,12069.0,186.0,-658.0,367.0,10.0,1.0,4.0,0.0,2.0,0.0,2.0
3035,Movistar KOI,LEC,2025,LOLTMNT05_115027,Red,Camille,Caitlyn,Rakan,Poppy,Smolder,Orianna,Camille,Amumu,Ryze,Sivir,Lulu,0,3066.0,4521.0,65.0,2509.0,3204.0,45.0,557.0,1317.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,4957.0,6656.0,95.0,4155.0,5887.0,84.0,802.0,769.0,11.0,2.0,0.0,1.0,0.0,3.0,0.0,6660.0,9614.0,142.0,6093.0,9106.0,143.0,567.0,508.0,-1.0,2.0,0.0,1.0,0.0,4.0,0.0,8914.0,12069.0,186.0,8256.0,12436.0,196.0,658.0,-367.0,-10.0,2.0,0.0,2.0,1.0,4.0,0.0
3036,Karmine Corp,LEC,2025,LOLTMNT05_115043,Blue,K'Sante,Poppy,Vi,Taliyah,Yone,Rumble,K'Sante,Ivern,Azir,Varus,Leona,1,3422.0,5050.0,95.0,3273.0,4805.0,83.0,149.0,245.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,5227.0,7904.0,149.0,4891.0,7666.0,137.0,336.0,238.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,7338.0,10543.0,189.0,6558.0,10284.0,184.0,780.0,259.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,8979.0,12449.0,223.0,8817.0,13326.0,233.0,162.0,-877.0,-10.0,1.0,2.0,1.0,0.0,3.0,0.0
3037,Fnatic,LEC,2025,LOLTMNT05_115043,Red,Gragas,Skarner,Kalista,Ambessa,Alistar,Braum,Gragas,Maokai,Smolder,Ezreal,Rell,0,3273.0,4805.0,83.0,3422.0,5050.0,95.0,-149.0,-245.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,4891.0,7666.0,137.0,5227.0,7904.0,149.0,-336.0,-238.0,-12.0,0.0,0.0,0.0,0.0,0.0,0.0,6558.0,10284.0,184.0,7338.0,10543.0,189.0,-780.0,-259.0,-5.0,0.0,0.0,0.0,1.0,2.0,0.0,8817.0,13326.0,233.0,8979.0,12449.0,223.0,-162.0,877.0,10.0,0.0,3.0,0.0,1.0,2.0,1.0
3038,Fnatic,LEC,2025,LOLTMNT05_115044,Blue,Rumble,Draven,Zyra,Renata Glasc,Viktor,Corki,Rumble,Xin Zhao,Taliyah,Kalista,Nautilus,0,3432.0,5083.0,93.0,3272.0,5030.0,88.0,160.0,53.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5609.0,8714.0,152.0,5479.0,7900.0,138.0,130.0,814.0,14.0,1.0,0.0,0.0,1.0,1.0,1.0,7604.0,11914.0,207.0,7309.0,11469.0,193.0,295.0,445.0,14.0,1.0,0.0,0.0,1.0,1.0,1.0,9298.0,13919.0,246.0,10169.0,13958.0,224.0,-871.0,-39.0,22.0,1.0,0.0,1.0,3.0,3.0,1.0
3039,Karmine Corp,LEC,2025,LOLTMNT05_115044,Red,Ambessa,Skarner,Vi,Kai'Sa,Braum,Elise,Ambessa,Sejuani,Hwei,Ashe,Poppy,1,3272.0,5030.0,88.0,3432.0,5083.0,93.0,-160.0,-53.0,-5.0,0.0,0.0,0.0,0.0,0.0,0.0,5479.0,7900.0,138.0,5609.0,8714.0,152.0,-130.0,-814.0,-14.0,1.0,1.0,1.0,1.0,0.0,0.0,7309.0,11469.0,193.0,7604.0,11914.0,207.0,-295.0,-445.0,-14.0,1.0,1.0,1.0,1.0,0.0,0.0,10169.0,13958.0,224.0,9298.0,13919.0,246.0,871.0,39.0,-22.0,3.0,3.0,1.0,1.0,0.0,1.0
3040,Karmine Corp,LEC,2025,LOLTMNT05_115046,Blue,Gnar,Nocturne,Lulu,Zyra,Ahri,Aurora,Gnar,Pantheon,Viktor,Zeri,Zilean,0,3376.0,4768.0,85.0,3145.0,5020.0,78.0,231.0,-252.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5671.0,7738.0,138.0,4404.0,6999.0,108.0,1267.0,739.0,30.0,0.0,1.0,0.0,0.0,1.0,1.0,7582.0,10402.0,180.0,6368.0,10600.0,163.0,1214.0,-198.0,17.0,0.0,2.0,0.0,0.0,1.0,2.0,9113.0,11563.0,197.0,7331.0,12304.0,166.0,1782.0,-741.0,31.0,0.0,2.0,2.0,0.0,4.0,2.0
3041,Fnatic,LEC,2025,LOLTMNT05_115046,Red,Ornn,Skarner,Draven,Vi,Renata Glasc,Caitlyn,Ornn,Wukong,Aurelion Sol,Xayah,Rakan,1,3145.0,5020.0,78.0,3376.0,4768.0,85.0,-231.0,252.0,-7.0,0.0,0.0,0.0,0.0,0.0,0.0,4404.0,6999.0,108.0,5671.0,7738.0,138.0,-1267.0,-739.0,-30.0,0.0,1.0,1.0,0.0,1.0,0.0,6368.0,10600.0,163.0,7582.0,10402.0,180.0,-1214.0,198.0,-17.0,0.0,1.0,2.0,0.0,2.0,0.0,7331.0,12304.0,166.0,9113.0,11563.0,197.0,-1782.0,741.0,-31.0,0.0,4.0,2.0,0.0,2.0,2.0
3042,Fnatic,LEC,2025,LOLTMNT05_115052,Blue,Camille,Draven,Senna,Blitzcrank,Seraphine,Gwen,Camille,Volibear,Sylas,Miss Fortune,Lulu,0,2657.0,4156.0,57.0,3166.0,4450.0,59.0,-509.0,-294.0,-2.0,0.0,0.0,0.0,1.0,0.0,0.0,4101.0,6514.0,98.0,5341.0,7136.0,104.0,-1240.0,-622.0,-6.0,0.0,0.0,1.0,1.0,0.0,0.0,6416.0,9589.0,141.0,8280.0,10090.0,164.0,-1864.0,-501.0,-23.0,1.0,0.0,1.0,2.0,1.0,0.0,7810.0,11350.0,170.0,10799.0,13414.0,210.0,-2989.0,-2064.0,-40.0,1.0,1.0,3.0,3.0,3.0,0.0
3043,Karmine Corp,LEC,2025,LOLTMNT05_115052,Red,Renekton,Skarner,Nocturne,Lucian,Ahri,LeBlanc,Renekton,Jarvan IV,Aurora,Jhin,Karma,1,3166.0,4450.0,59.0,2657.0,4156.0,57.0,509.0,294.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5341.0,7136.0,104.0,4101.0,6514.0,98.0,1240.0,622.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,8280.0,10090.0,164.0,6416.0,9589.0,141.0,1864.0,501.0,23.0,2.0,1.0,0.0,1.0,0.0,1.0,10799.0,13414.0,210.0,7810.0,11350.0,170.0,2989.0,2064.0,40.0,3.0,3.0,0.0,1.0,1.0,3.0
3044,Karmine Corp,LEC,2025,LOLTMNT05_115078,Blue,Gnar,Lulu,Draven,Warwick,Neeko,Nautilus,Gnar,Xin Zhao,Viktor,Jhin,Rakan,1,3342.0,4899.0,83.0,3278.0,4544.0,76.0,64.0,355.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,5242.0,7434.0,126.0,5202.0,7124.0,120.0,40.0,310.0,6.0,1.0,1.0,2.0,2.0,2.0,1.0,8601.0,11306.0,177.0,7375.0,9460.0,160.0,1226.0,1846.0,17.0,3.0,5.0,2.0,2.0,2.0,2.0,10988.0,13457.0,198.0,9064.0,12003.0,202.0,1924.0,1454.0,-4.0,5.0,12.0,2.0,2.0,2.0,4.0
3045,G2 Esports,LEC,2025,LOLTMNT05_115078,Red,Urgot,Azir,Kalista,Ambessa,Karma,Braum,Urgot,Pantheon,Ryze,Caitlyn,Thresh,0,3278.0,4544.0,76.0,3342.0,4899.0,83.0,-64.0,-355.0,-7.0,1.0,0.0,0.0,0.0,0.0,1.0,5202.0,7124.0,120.0,5242.0,7434.0,126.0,-40.0,-310.0,-6.0,2.0,2.0,1.0,1.0,1.0,2.0,7375.0,9460.0,160.0,8601.0,11306.0,177.0,-1226.0,-1846.0,-17.0,2.0,2.0,2.0,3.0,5.0,2.0,9064.0,12003.0,202.0,10988.0,13457.0,198.0,-1924.0,-1454.0,4.0,2.0,2.0,4.0,5.0,12.0,2.0
3046,Karmine Corp,LEC,2025,LOLTMNT05_116037,Blue,Jax,Nocturne,Lulu,Nidalee,Jayce,Galio,Jax,Zyra,Corki,Caitlyn,Braum,0,3221.0,4385.0,73.0,3165.0,5197.0,73.0,56.0,-812.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4866.0,6719.0,109.0,5529.0,7994.0,131.0,-663.0,-1275.0,-22.0,0.0,1.0,0.0,0.0,0.0,0.0,6368.0,8674.0,135.0,6933.0,9909.0,158.0,-565.0,-1235.0,-23.0,0.0,2.0,1.0,0.0,2.0,1.0,10654.0,11904.0,185.0,9145.0,12533.0,188.0,1509.0,-629.0,-3.0,3.0,2.0,1.0,1.0,4.0,2.0
3047,Fnatic,LEC,2025,LOLTMNT05_116037,Red,Sion,Skarner,Draven,Aurora,Sivir,Alistar,Sion,Vi,Yone,Kai'Sa,Pyke,1,3165.0,5197.0,73.0,3221.0,4385.0,73.0,-56.0,812.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5529.0,7994.0,131.0,4866.0,6719.0,109.0,663.0,1275.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,6933.0,9909.0,158.0,6368.0,8674.0,135.0,565.0,1235.0,23.0,0.0,2.0,1.0,0.0,2.0,1.0,9145.0,12533.0,188.0,10654.0,11904.0,185.0,-1509.0,629.0,3.0,1.0,4.0,2.0,3.0,2.0,1.0
3048,G2 Esports,LEC,2025,LOLTMNT05_116057,Blue,Ornn,Draven,Ambessa,Kai'Sa,Braum,Gnar,Ornn,Vi,Orianna,Ezreal,Leona,0,3220.0,4989.0,84.0,2850.0,4150.0,63.0,370.0,839.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,5357.0,8247.0,128.0,4565.0,6862.0,112.0,792.0,1385.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,6622.0,10140.0,158.0,7727.0,10091.0,155.0,-1105.0,49.0,3.0,1.0,1.0,1.0,2.0,0.0,0.0,8337.0,12197.0,191.0,9602.0,12035.0,183.0,-1265.0,162.0,8.0,1.0,1.0,1.0,3.0,1.0,0.0
